Segment,Lines,Images
24,It would be fatal for the nation to overlook the urgency of the moment.,"http://www.google.com/imgres?um=1&hl=en&safe=off&sa=N&rlz=1C1GGGE_enUS355US387&biw=1366&bih=653&tbm=isch&tbnid=rizbrl1ApJSNVM:&imgrefurl=http://continuumfilmblog.typepad.com/continuum_film_blog/political/&docid=lv0QwiEguv4c4M&imgurl=http://continuumfilmblog.typepad.com/.a/6a00e54f8ea81b8833010536db4c7f970b-800wi&w=538&h=600&ei=8V6mT9CDHKeD4gTqudjGCQ&zoom=1&iact=hc&vpx=337&vpy=131&dur=613&hovh=237&hovw=213&tx=126&ty=59&sig=102521586380849688489&page=1&tbnh=140&tbnw=132&start=0&ndsp=18&ved=1t:429,r:1,s:0,i:77"
26,"Nineteen sixty-three is not an end, but a beginning.",http://continuumfilmblog.typepad.com/.a/6a00e54f8ea81b8833010536db4c7f970b-800wi
26,"Nineteen sixty-three is not an end, but a beginning.",http://i8.glitter-graphics.org/pub/2785/2785078nzkjynvh95.jpg
26,"Nineteen sixty-three is not an end, but a beginning.",http://www.strangecosmos.com/images/content/156401.jpg
27,And those who hope that the Negro needed to blow off steam and will now be content will have a rude awakening if the nation returns to business as usual.,http://www.niot.org/sites/default/files/uploads/i-have-a-dream-speech-martin-luther-king(1).jpg
29,The whirlwinds of revolt will continue to shake the foundations of our nation until the bright day of justice emerges.,http://www.theblaze.com/wp-content/uploads/2011/11/AP111103011271.jpg
29,The whirlwinds of revolt will continue to shake the foundations of our nation until the bright day of justice emerges.,http://kingsenglish.info/wp-content/uploads/2011/06/tornado-12430.jpg
31,Let us not seek to satisfy our thirst for freedom by drinking from the cup of bitterness and hatred.,http://insanelyserene.com/wp-content/uploads/2011/10/No-hate-illustration-blakeemrys.jpg
32,We must forever conduct our struggle on the high plane of dignity and discipline.,http://reneewarren.com/wp-content/uploads/2011/07/discipline.jpg
32,We must forever conduct our struggle on the high plane of dignity and discipline.,http://electronicintifada.net/sites/electronicintifada.net/files/artman2/1/070607-peace-now.jpg
33,We must not allow our creative protest to degenerate into physical violence.,http://thesocietypages.org/socimages/files/2011/11/usdavis.jpg
41,We can never be satisfied as long as the Negro is the victim of the unspeakable horrors of police brutality.,http://4.bp.blogspot.com/-abU1eqrIGcI/TxQj4_H3WmI/AAAAAAAABZo/i4B_J2n8TXM/s1600/martin-luther-king.jpg
42,"We can never be satisfied as long as our bodies, heavy with the fatigue of travel, cannot gain lodging in the motels of the highways and the hotels of the cities.",http://www.sidewalklyrics.com/wp-content/uploads/2007/05/jamesdean.jpg
42,"We can never be satisfied as long as our bodies, heavy with the fatigue of travel, cannot gain lodging in the motels of the highways and the hotels of the cities.",http://media.travmonkey.com/wp-content/uploads/2009/10/backpacking-weary-traveler.jpg
43,We cannot be satisfied as long as the negro's basic mobility is from a smaller ghetto to a larger one.,http://cinematreasures.org/theaters/17424/photos/38774
43,We cannot be satisfied as long as the negro's basic mobility is from a smaller ghetto to a larger one.,http://2.bp.blogspot.com/_hphPI2BUE1I/TU17YedcsOI/AAAAAAAAAMs/ODvfZRMVnhk/s1600/Harlem.jpg
43,We cannot be satisfied as long as the negro's basic mobility is from a smaller ghetto to a larger one.,http://www.beyondblackwhite.com/wp-content/uploads/2012/01/ghetto.jpg
44,"We can never be satisfied as long as our children are stripped of their self-hood and robbed of their dignity by signs stating: ""For Whites Only.""",http://www.runwithmcp.org/dev/sites/default/files/Clermont%20Center%20children%208%202009%201_0_1.jpg
44,"We can never be satisfied as long as our children are stripped of their self-hood and robbed of their dignity by signs stating: ""For Whites Only.""",http://t1.gstatic.com/images?q=tbn:ANd9GcR7S-T1iv8N5ZgG0b4oLn68wi-LGsik0y2mnVWePF0aHH1T2UTsHA
45,We cannot be satisfied as long as a Negro in Mississippi cannot vote and a Negro in New York believes he has nothing for which to vote.,"http://www.google.com/imgres?um=1&hl=en&safe=off&sa=N&rlz=1C1GGGE_enUS355US387&biw=1366&bih=653&tbm=isch&tbnid=FWNrtOHOoq48tM:&imgrefurl=http://www.jinfitness.com/2012/01/happy-martin-luther-king-day.html&docid=nXt-v5qoA6p7xM&imgurl=http://4.bp.blogspot.com/-abU1eqrIGcI/TxQj4_H3WmI/AAAAAAAABZo/i4B_J2n8TXM/s1600/martin-luther-king.jpg&w=400&h=323&ei=W1-mT5rYCYbm4QSlnODFCA&zoom=1&iact=hc&vpx=659&vpy=316&dur=40&hovh=202&hovw=250&tx=86&ty=112&sig=102521586380849688489&page=1&tbnh=141&tbnw=181&start=0&ndsp=22&ved=1t:429,r:11,s:0,i:98"
46,"No, no, we are not satisfied, and we will not be satisfied until ""justice rolls down like waters, and righteousness like a mighty stream.""",slavieboy.blogspot.com
46,"No, no, we are not satisfied, and we will not be satisfied until ""justice rolls down like waters, and righteousness like a mighty stream.""",http://nipunscorp.com/wp-content/uploads/2011/06/waterfall-landscape-wallpaper1.jpg_2akewo1.jpg
47,I am not unmindful that some of you have come here out of great trials and tribulations.,"http://www.google.com/imgres?um=1&hl=en&safe=off&sa=N&rlz=1C1GGGE_enUS355US387&biw=1366&bih=653&tbm=isch&tbnid=FmNLcO95bKHfyM:&imgrefurl=http://www.fatih.edu.tr/~myilmaz/Dinleti/American%2520Rhetoric%2520Martin%2520Luther%2520King,%2520Jr_%2520I%2520Have%2520a%2520Dream.htm&docid=4NSbnY5ofF-IfM&imgurl=http://www.fatih.edu.tr/~myilmaz/Dinleti/American%252520Rhetoric%252520Martin%252520Luther%252520King,%252520Jr_%252520I%252520Have%252520a%252520Dream_files/martinlutherkingIhaveadream2.jpg&w=270&h=376&ei=W1-mT5rYCYbm4QSlnODFCA&zoom=1&iact=rc&dur=453&sig=102521586380849688489&page=1&tbnh=155&tbnw=97&start=0&ndsp=22&ved=1t:429,r:6,s:0,i:87&tx=9&ty=27"
49,And some of you have come from areas where your quest -- quest for freedom left you battered by the storms of persecution and staggered by the winds of police brutality.,http://images.huffingtonpost.com/gen/32320/thumbs/s-POLICE-BRUTALITY-large.jpg
49,And some of you have come from areas where your quest -- quest for freedom left you battered by the storms of persecution and staggered by the winds of police brutality.,http://im.rediff.com/getahead/2010/aug/20monsoon1.jpg
49,And some of you have come from areas where your quest -- quest for freedom left you battered by the storms of persecution and staggered by the winds of police brutality.,http://images.huffingtonpost.com/gen/32320/thumbs/s-POLICE-BRUTALITY-large.jpg
51,Continue to work with the faith that unearned suffering is redemptive.,"http://www.google.com/imgres?start=48&num=10&hl=en&safe=off&rlz=1C1GGGE_enUS355US387&biw=1366&bih=653&tbm=isch&tbnid=dB2I5iNEMOruVM:&imgrefurl=http://filipspagnoli.wordpress.com/2009/12/01/human-rights-ads-32-racism/&docid=EV7EPy-XdDGPxM&imgurl=http://filipspagnoli.files.wordpress.com/2009/02/ad-benetton-racism-white-black-yellow-hearts.jpg&w=870&h=601&ei=D2GmT-hw6OThBJ-BoZ0J&zoom=1&iact=hc&vpx=467&vpy=270&dur=531&hovh=187&hovw=270&tx=239&ty=66&sig=102521586380849688489&page=3&tbnh=151&tbnw=198&ndsp=25&ved=1t:429,r:20,s:48,i:107"
52,"Go back to Mississippi, go back to Alabama, go back to South Carolina, go back to Georgia, go back to Louisiana, go back to the slums and ghettos of our northern cities, knowing that somehow this situation can and will be changed.",http://www.sfbayview.com/wp-content/uploads/2009/10/Detroit-Rebellion-12th-St.-Clairmount-0723671.jpg
52,"Go back to Mississippi, go back to Alabama, go back to South Carolina, go back to Georgia, go back to Louisiana, go back to the slums and ghettos of our northern cities, knowing that somehow this situation can and will be changed.",http://www.voice-online.co.uk/sites/default/files/imagecache/455/martin-luther-king2_0.jpg
53,"Let us not wallow in the valley of despair, I say to you today, my friends.",http://www.mnartists.org/uploads/users/user_6900/90acc5c21d5806c75d05756d16d051a7/90acc5c21d5806c75d05756d16d051a7.jpg
53,"Let us not wallow in the valley of despair, I say to you today, my friends.",http://history-world.org/peacehands.jpg
54,"And so even though we face the difficulties of today and tomorrow, I still have a dream.",http://halfwaybetweenthegutter.files.wordpress.com/2012/03/dream.jpg
54,"And so even though we face the difficulties of today and tomorrow, I still have a dream.",http://matthewhyde.files.wordpress.com/2012/04/434px-martin-luther-king-1964-leaning-on-a-lectern1.jpg
54,"And so even though we face the difficulties of today and tomorrow, I still have a dream.",http://www.markmallett.com/blog/wp-content/uploads/2009/08/Persevere.jpg
56,"I have a dream that one day this nation will rise up and live out the true meaning of its creed: ""We hold these truths to be self-evident, that all men are created equal.""",http://www.facebook.com/pages/I-Have-a-Dream-That-One-Day-This-Nation-Will-Rise-Up-and-Live-Out-the-True-Meaning-of-Its-Creed-We-Hold-These-Truths-to-Be-Self-Evident-That-All-Men-Are-Created-Equal/374759982884
56,"I have a dream that one day this nation will rise up and live out the true meaning of its creed: ""We hold these truths to be self-evident, that all men are created equal.""",http://us.123rf.com/400wm/400/400/zurijeta/zurijeta0911/zurijeta091100409/5898339-shaking-hands-black-and-white-in-the-office.jpg
